model_name,Accuracy_test_source,Gen_Gap_pipeline_1,Gen_Gap_pipeline_2,Gen_Gap_pipeline_3,Gen_Gap_pipeline_4,Gen_Gap_pipeline_5,Gen_Gap_pipeline_6,Gen_Gap_pipeline_7,Gen_Gap_pipeline_8,Gen_Gap_pipeline_9,Gen_Gap_pipeline_10,Gen_Gap_pipeline_11,Gen_Gap_pipeline_12,Gen_Gap_pipeline_13,Gen_Gap_pipeline_14,Gen_Gap_pipeline_15,Gen_Gap_pipeline_16,Gen_Gap_pipeline_17,Gen_Gap_pipeline_18,Gen_Gap_pipeline_19,Gen_Gap_pipeline_20
model_1,85.48842668533325,6.126487255096436,10.756635665893556,8.046305179595947,8.413326740264893,4.827785491943359,10.050821304321287,8.385097980499268,8.80858302116394,6.1547160148620605,9.599101543426514,8.46979022026062,9.542632102966309,4.291361570358276,9.373235702514648,8.46979022026062,9.853190183639526,6.916999816894531,9.006214141845703,8.695656061172485,10.502541065216064
model_2,77.41389274597168,3.303217887878418,7.453417778015137,7.227557897567749,6.888765096664429,1.693958044052124,6.013554334640503,6.324112415313721,6.013554334640503,1.0728418827056885,6.126487255096436,7.1710944175720215,6.0417890548706055,2.569174766540528,5.9853196144104,5.73122501373291,4.404294490814209,1.693958044052124,5.223041772842407,5.0254106521606445,4.206663370132446
model_3,87.35178112983704,8.89328122138977,10.417842864990234,10.784870386123655,10.30491590499878,6.945228576660156,10.47431230545044,10.502541065216064,9.514403343200684,6.578207015991211,9.62733030319214,11.434221267700195,10.191982984542848,7.509881258010864,9.937888383865356,11.349523067474363,10.671937465667725,8.385097980499268,10.22021770477295,9.937888383865356,11.236590147018433
model_4,80.20892143249512,1.919817924499512,4.856014251708984,2.8514981269836426,3.783172369003296,1.3833999633789062,3.2749831676483154,3.754943609237671,4.376059770584106,0.959908962249756,2.73856520652771,3.1902849674224854,4.009032249450684,1.5527963638305664,2.7667999267578125,3.613775968551636,5.081874132156372,2.9361963272094727,2.31507420539856,4.4607579708099365,4.545456171035767
model_5,87.210613489151,15.330320596694946,21.061545610427856,21.118009090423584,20.44042944908142,14.906829595565796,20.8921492099762,19.33935284614563,18.944096565246586,15.612643957138062,18.633538484573364,19.649910926818848,17.814791202545166,15.556180477142334,19.198191165924072,18.802934885025024,17.19367504119873,16.205531358718872,19.22642588615417,17.080742120742798,16.798418760299683
model_6,80.35008311271667,2.1174490451812744,4.799544811248779,4.291361570358276,3.698474168777466,1.4680981636047363,3.049123287200928,2.82326340675354,3.698474168777466,0.959908962249756,3.020888566970825,3.754937648773194,2.5974035263061523,2.6821017265319824,2.48447060585022,2.9926598072052,2.7103304862976074,3.0773580074310303,2.1456778049468994,3.049123287200928,4.545450210571289
model_7,85.54489016532898,12.874084711074827,18.12535524368286,16.403162479400635,16.374927759170532,12.365895509719849,17.84302592277527,16.516095399856567,15.30209183692932,11.9706392288208,17.080748081207275,16.262000799179077,14.991527795791626,14.596271514892578,17.36307144165039,16.318464279174805,14.229249954223633,13.692831993103027,16.629022359848022,15.13269543647766,15.245622396469116
model_8,74.28006529808044,1.693958044052124,2.82326340675354,1.7504215240478516,2.31507420539856,0.4517197608947754,1.609259843826294,1.2987017631530762,2.3997724056243896,1.044607162475586,1.863354444503784,2.117443084716797,0.7622778415679932,2.343308925628662,1.637488603591919,2.5409340858459477,1.6657233238220217,2.73856520652771,1.6657233238220217,1.4398634433746338,2.004516124725342
model_9,77.30095982551575,3.5290777683258057,6.437039375305176,5.90062141418457,5.702990293502808,2.428007125854492,5.844157934188843,5.0536394119262695,5.30773401260376,0.1976311206817627,5.166572332382202,5.64652681350708,4.009032249450684,0.8187472820281982,4.658383131027222,4.940712451934815,4.4889867305755615,1.6374945640563965,4.601919651031494,3.303217887878418,4.4042885303497314
model_10,80.83003759384155,9.740257263183594,15.330320596694946,14.906829595565796,13.043475151062012,8.441555500030518,13.043475151062012,12.78938055038452,12.394124269485474,7.96160101890564,12.196499109268188,13.043475151062012,11.236590147018433,9.514397382736206,12.478822469711304,12.28119730949402,10.643702745437622,8.55448842048645,11.88594102859497,10.135513544082642,10.70016622543335
